hop_ip,country,city,region,loc
1.9.244.145,MY,Petaling Jaya,Selangor,"3.1073,101.6067"
101.53.31.5,VN,Ho Chi Minh City,Ho Chi Minh City (HCMC),"10.8230,106.6296"
102.128.144.193,ZA,Cape Town,Western Cape,"-33.9258,18.4232"
102.130.49.21,ZA,Johannesburg,Gauteng,"-26.2023,28.0436"
102.130.51.107,TW,Taipei,Taiwan,"25.0531,121.5264"
102.130.51.162,SG,Singapore,Singapore,"1.2897,103.8501"
102.130.51.174,JP,Tokyo,Tokyo,"35.6895,139.6917"
102.130.51.194,SG,Singapore,Singapore,"1.2897,103.8501"
102.130.51.206,US,Secaucus,New Jersey,"40.7895,-74.0565"
102.130.51.88,RU,Moscow,Moscow,"55.7520,37.6178"
102.130.66.1,AO,Talatona,Luanda,"-8.9178,13.1856"
102.130.67.113,SG,Singapore,Singapore,"1.2897,103.8501"
102.130.68.112,ZA,Johannesburg,Gauteng,"-26.2023,28.0436"
102.130.68.146,ZA,Johannesburg,Gauteng,"-26.2023,28.0436"
102.130.69.5,ZA,Cape Town,Western Cape,"-33.9258,18.4232"
102.130.70.203,AO,Luanda,Luanda,"-8.8368,13.2343"
102.130.70.57,ZA,Johannesburg,Gauteng,"-26.2023,28.0436"
102.176.238.155,ZA,Durban,KwaZulu-Natal,"-29.8579,31.0292"
102.176.238.175,ZA,Durban,KwaZulu-Natal,"-29.8579,31.0292"
102.176.238.46,ZA,Durban,KwaZulu-Natal,"-29.8579,31.0292"
102.205.240.1,ZA,Retreat,Western Cape,"-34.0551,18.4762"
102.206.164.12,NL,Amsterdam,North Holland,"52.3740,4.8897"
102.206.164.254,KE,Nairobi,Nairobi County,"-1.2833,36.8167"
102.208.239.122,ZA,Cape Town,Western Cape,"-33.9258,18.4232"
102.211.153.33,ZA,Johannesburg,Gauteng,"-26.2023,28.0436"
102.212.60.2,ZA,Cape Town,Western Cape,"-33.9258,18.4232"
102.212.60.3,ZA,Cape Town,Western Cape,"-33.9258,18.4232"
102.216.158.16,GB,London,England,"51.5085,-0.1257"
102.216.76.16,ZA,Cape Town,Western Cape,"-33.9258,18.4232"
102.216.76.20,ZA,Cape Town,Western Cape,"-33.9258,18.4232"
102.217.156.153,KE,Nairobi,Nairobi County,"-1.2833,36.8167"
102.217.159.78,KE,Nairobi,Nairobi County,"-1.2833,36.8167"
102.217.253.201,ZA,Johannesburg,Gauteng,"-26.2023,28.0436"
102.217.253.5,ZA,Johannesburg,Gauteng,"-26.2023,28.0436"
102.219.44.42,CM,Douala,Littoral,"4.0483,9.7043"
102.219.47.82,NG,Lagos,Lagos,"6.4541,3.3947"
102.219.47.86,CM,Douala,Littoral,"4.0483,9.7043"
102.220.16.254,CM,Douala,Littoral,"4.0483,9.7043"
102.220.216.12,ZA,Johannesburg,Gauteng,"-26.2023,28.0436"
102.221.178.102,ZA,Cape Town,Western Cape,"-33.9258,18.4232"
102.221.178.192,ZA,Cape Town,Western Cape,"-33.9258,18.4232"
102.221.178.40,ZA,Cape Town,Western Cape,"-33.9258,18.4232"
102.222.105.1,MU,Quatre Bornes,Plaines Wilhems,"-20.2638,57.4791"
102.23.166.241,NG,Kano,Kano State,"12.0001,8.5167"
102.89.17.205,NG,Lagos,Lagos,"6.4541,3.3947"
103.1.76.139,AU,Sydney,New South Wales,"-33.8678,151.2073"
103.1.76.145,AU,Melbourne,Victoria,"-37.8140,144.9633"
103.1.76.147,AU,Melbourne,Victoria,"-37.8140,144.9633"
103.1.76.155,AU,Adelaide,South Australia,"-34.9287,138.5986"
103.1.76.165,AU,Melbourne,Victoria,"-37.8140,144.9633"
103.1.77.1,AU,Perth,Western Australia,"-31.9522,115.8614"
103.1.77.121,AU,Perth,Western Australia,"-31.9522,115.8614"
103.1.77.14,AU,Sydney,New South Wales,"-33.8678,151.2073"
103.1.77.32,AU,Brisbane,Queensland,"-27.4679,153.0281"
103.1.77.46,AU,Sydney,New South Wales,"-33.8678,151.2073"
103.1.77.6,AU,Sydney,New South Wales,"-33.8678,151.2073"
103.1.77.78,AU,Melbourne,Victoria,"-37.8140,144.9633"
103.1.77.9,AU,Perth,Western Australia,"-31.9522,115.8614"
103.102.166.140,SG,Singapore,Singapore,"1.2897,103.8501"
103.102.166.19,SG,Singapore,Singapore,"1.2897,103.8501"
103.110.178.247,AU,Sydney,New South Wales,"-33.8678,151.2073"
